ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Método_Pago,Estado
919,2024-01-31,10,25,5,1,Completa
947,2024-01-31,106,5,1,4,Completa
1317,2024-01-31,235,25,3,3,Completa
1607,2024-01-31,114,15,5,1,Completa
2038,2024-01-31,132,2,5,4,Completa
2436,2024-01-31,282,3,3,1,Completa
2578,2024-01-31,201,31,6,3,Completa
448,2024-02-01,5,19,3,4,Pendiente
492,2024-02-01,114,29,6,4,Completa
1099,2024-02-01,282,28,1,4,Completa
1439,2024-02-01,130,18,2,2,Completa
1565,2024-02-01,97,6,6,2,Completa
1776,2024-02-01,247,7,4,4,Completa
2190,2024-02-01,98,16,1,1,Pendiente
2755,2024-02-01,27,18,4,4,Completa
43,2024-02-02,294,31,1,4,Completa
272,2024-02-02,60,3,6,4,Completa
349,2024-02-02,203,2,3,4,Completa
351,2024-02-02,45,8,4,3,Completa
822,2024-02-02,1,32,4,5,Completa
1078,2024-02-02,218,6,5,5,Completa
1595,2024-02-02,129,31,6,1,Completa
2746,2024-02-02,217,4,1,4,Completa
262,2024-02-03,156,33,3,4,Pendiente
997,2024-02-03,245,12,3,5,Completa
1221,2024-02-03,251,10,5,5,Pendiente
1931,2024-02-03,204,6,4,5,Completa
1967,2024-02-03,32,7,5,4,Completa
2328,2024-02-03,275,23,1,2,Completa
420,2024-02-04,259,32,1,2,Pendiente
546,2024-02-04,66,19,3,4,Completa
680,2024-02-04,112,37,2,5,Completa
2263,2024-02-04,48,27,1,5,Completa
2752,2024-02-04,125,35,3,4,Completa
2889,2024-02-04,48,24,2,3,Pendiente
2896,2024-02-04,106,21,1,2,Completa
277,2024-02-05,159,4,6,4,Completa
497,2024-02-05,169,5,6,3,Completa
503,2024-02-05,169,5,5,1,Completa
1198,2024-02-05,102,13,2,1,Completa
1449,2024-02-05,172,29,6,2,Completa
1759,2024-02-05,255,23,5,5,Pendiente
2873,2024-02-05,230,13,2,2,Completa
484,2024-02-06,168,35,1,2,Completa
593,2024-02-06,258,11,4,5,Completa
809,2024-02-06,159,19,6,5,Pendiente
1656,2024-02-06,283,1,3,4,Completa
1735,2024-02-06,130,8,6,5,Completa
2126,2024-02-06,181,3,3,4,Pendiente
2540,2024-02-06,75,28,6,1,Pendiente
2680,2024-02-06,155,18,2,4,Completa
116,2024-02-07,71,35,4,3,Completa
215,2024-02-07,64,31,2,4,Pendiente
441,2024-02-07,21,7,6,3,Completa
471,2024-02-07,108,12,6,5,Pendiente
1136,2024-02-07,187,23,3,3,Completa
1753,2024-02-07,35,17,2,4,Pendiente
2127,2024-02-07,180,6,3,3,Completa
2209,2024-02-07,151,3,2,1,Completa
2935,2024-02-07,164,25,3,4,Completa
734,2024-02-08,212,36,5,2,Completa
2043,2024-02-08,318,27,2,5,Completa
2335,2024-02-08,56,38,2,5,Completa
2770,2024-02-08,295,34,4,2,Completa
226,2024-02-09,3,11,4,1,Completa
1044,2024-02-09,69,29,1,5,Completa
1162,2024-02-09,104,17,2,3,Completa
1725,2024-02-09,293,25,6,4,Completa
1878,2024-02-09,214,17,3,4,Completa
2480,2024-02-09,278,22,1,1,Completa
2610,2024-02-09,78,1,6,4,Completa
2947,2024-02-09,28,6,5,4,Pendiente
117,2024-02-10,288,10,3,2,Pendiente
1102,2024-02-10,59,29,4,3,Completa
1217,2024-02-10,144,22,2,4,Completa
1363,2024-02-10,314,28,3,3,Pendiente
1600,2024-02-10,230,24,6,3,Completa
2719,2024-02-10,57,16,1,4,Completa
621,2024-02-11,166,3,3,3,Completa
995,2024-02-11,224,13,5,5,Completa
1218,2024-02-11,34,29,1,2,Completa
1362,2024-02-11,120,19,2,5,Pendiente
1651,2024-02-11,85,13,6,4,Completa
1680,2024-02-11,241,28,3,3,Completa
1754,2024-02-11,212,27,3,5,Completa
1934,2024-02-11,69,27,1,2,Completa
2534,2024-02-11,250,11,1,5,Completa
2642,2024-02-11,54,37,5,4,Completa
2703,2024-02-11,255,29,3,1,Pendiente
2874,2024-02-11,87,19,4,5,Completa
2933,2024-02-11,307,37,4,5,Completa
29,2024-02-12,205,38,2,3,Completa
237,2024-02-12,182,21,4,1,Completa
488,2024-02-12,47,14,2,5,Completa
1168,2024-02-12,286,4,4,5,Completa
1540,2024-02-12,273,14,6,3,Completa
2007,2024-02-12,288,14,2,4,Completa
2236,2024-02-12,295,18,4,5,Completa
8,2024-02-13,214,38,4,4,Completa
14,2024-02-13,171,22,4,3,Completa
459,2024-02-13,128,24,4,3,Completa
681,2024-02-13,14,29,3,3,Completa
821,2024-02-13,43,1,3,5,Pendiente
908,2024-02-13,141,11,4,4,Pendiente
1826,2024-02-13,300,20,1,1,Completa
2355,2024-02-13,150,35,2,5,Completa
2555,2024-02-13,130,33,3,5,Completa
2572,2024-02-13,258,26,4,1,Completa
2687,2024-02-13,73,29,4,5,Completa
2709,2024-02-13,304,12,2,1,Pendiente
1271,2024-02-14,190,27,5,3,Completa
1975,2024-02-14,118,4,6,5,Completa
2076,2024-02-14,5,1,1,4,Completa
2559,2024-02-14,87,15,6,1,Pendiente
2763,2024-02-14,273,21,5,5,Completa
2801,2024-02-14,105,17,5,3,Completa
34,2024-02-15,325,35,5,2,Completa
294,2024-02-15,85,24,3,2,Completa
627,2024-02-15,312,24,6,5,Completa
696,2024-02-15,76,13,3,1,Completa
938,2024-02-15,204,1,1,4,Completa
1700,2024-02-15,158,33,4,4,Completa
1928,2024-02-15,310,35,1,1,Completa
2214,2024-02-15,187,7,5,5,Completa
2238,2024-02-15,231,12,3,4,Completa
2481,2024-02-15,166,4,2,5,Pendiente
2604,2024-02-15,319,23,1,5,Completa
481,2024-02-16,109,19,3,3,Completa
641,2024-02-16,184,17,5,5,Completa
735,2024-02-16,183,20,2,1,Completa
779,2024-02-16,252,14,2,3,Completa
1174,2024-02-16,286,14,1,1,Completa
1253,2024-02-16,50,13,1,2,Completa
1263,2024-02-16,48,38,5,3,Completa
1479,2024-02-16,211,33,1,1,Completa
2323,2024-02-16,98,25,3,3,Completa
2362,2024-02-16,109,36,6,1,Completa
2771,2024-02-16,39,7,2,3,Completa
2937,2024-02-16,124,3,3,2,Completa
207,2024-02-17,203,20,2,5,Completa
297,2024-02-17,302,3,4,5,Pendiente
386,2024-02-17,250,32,6,5,Pendiente
572,2024-02-17,95,18,5,1,Completa
812,2024-02-17,280,7,4,3,Completa
1079,2024-02-17,8,31,6,3,Completa
1095,2024-02-17,326,2,5,5,Pendiente
1842,2024-02-17,224,29,2,1,Completa
1863,2024-02-17,46,26,5,4,Completa
2045,2024-02-17,97,8,3,4,Completa
2375,2024-02-17,82,38,1,3,Completa
2634,2024-02-17,31,15,6,5,Completa
77,2024-02-18,320,27,2,3,Completa
131,2024-02-18,17,23,5,4,Completa
166,2024-02-18,25,13,5,5,Completa
223,2024-02-18,221,29,1,5,Completa
236,2024-02-18,44,21,4,5,Pendiente
434,2024-02-18,90,23,1,5,Completa
539,2024-02-18,274,14,2,5,Completa
801,2024-02-18,37,27,3,1,Completa
1007,2024-02-18,77,11,6,5,Completa
1181,2024-02-18,171,17,4,4,Completa
1625,2024-02-18,145,38,4,3,Completa
1983,2024-02-18,63,27,4,5,Completa
2409,2024-02-18,252,15,4,5,Completa
2964,2024-02-18,269,7,2,1,Completa
53,2024-02-19,66,30,2,5,Completa
447,2024-02-19,249,27,5,1,Completa
454,2024-02-19,131,13,5,4,Completa
1332,2024-02-19,1,29,4,4,Completa
1722,2024-02-19,266,7,3,4,Completa
2134,2024-02-19,116,29,5,2,Completa
2310,2024-02-19,139,11,2,5,Completa
2926,2024-02-19,210,37,2,1,Completa
2969,2024-02-19,128,9,1,5,Completa
11,2024-02-20,237,25,6,1,Completa
110,2024-02-20,31,11,2,3,Completa
979,2024-02-20,30,29,5,1,Completa
1633,2024-02-20,27,11,5,4,Completa
2176,2024-02-20,48,12,5,1,Completa
2227,2024-02-20,239,8,4,5,Completa
2325,2024-02-20,13,2,4,4,Completa
2427,2024-02-20,57,35,2,1,Completa
2929,2024-02-20,28,11,1,3,Completa
168,2024-02-21,186,2,1,4,Completa
691,2024-02-21,175,14,1,1,Completa
851,2024-02-21,13,14,2,4,Completa
986,2024-02-21,273,7,4,1,Completa
1041,2024-02-21,312,9,3,3,Completa
2560,2024-02-21,249,33,3,5,Completa
2751,2024-02-21,19,2,5,4,Completa
2905,2024-02-21,226,5,4,4,Completa
338,2024-02-22,103,12,2,3,Completa
407,2024-02-22,32,5,3,3,Completa
1184,2024-02-22,106,38,6,5,Completa
1200,2024-02-22,143,32,1,5,Pendiente
1792,2024-02-22,81,9,4,1,Completa
2027,2024-02-22,184,32,4,1,Completa
2206,2024-02-22,236,23,1,1,Completa
2235,2024-02-22,20,28,6,5,Completa
2449,2024-02-22,262,1,2,5,Pendiente
2527,2024-02-22,55,14,3,5,Completa
85,2024-02-23,91,4,5,2,Completa
784,2024-02-23,279,10,4,2,Completa
1586,2024-02-23,166,38,2,4,Pendiente
2869,2024-02-23,247,4,2,4,Completa
2982,2024-02-23,229,34,2,4,Completa
88,2024-02-24,176,37,1,5,Completa
267,2024-02-24,273,13,1,4,Pendiente
342,2024-02-24,109,7,3,3,Completa
783,2024-02-24,124,30,1,2,Completa
948,2024-02-24,218,11,1,4,Completa
1416,2024-02-24,31,38,2,5,Completa
1674,2024-02-24,75,23,4,5,Pendiente
1852,2024-02-24,230,1,4,5,Pendiente
2439,2024-02-24,142,7,3,5,Completa
2835,2024-02-24,57,3,5,5,Pendiente
134,2024-02-25,308,10,1,4,Completa
1999,2024-02-25,209,33,2,5,Completa
2155,2024-02-25,162,17,1,3,Pendiente
2309,2024-02-25,82,1,4,4,Pendiente
2331,2024-02-25,228,1,2,3,Completa
2729,2024-02-25,166,9,4,3,Completa
39,2024-02-26,183,26,2,4,Completa
577,2024-02-26,169,3,1,3,Completa
1287,2024-02-26,22,25,6,1,Completa
1830,2024-02-26,291,32,4,4,Completa
2067,2024-02-26,73,23,1,4,Completa
2978,2024-02-26,108,3,3,1,Completa
713,2024-02-27,64,14,2,4,Completa
1841,2024-02-27,37,38,6,5,Completa
2248,2024-02-27,16,22,1,4,Pendiente
2272,2024-02-27,85,16,6,4,Completa
2442,2024-02-27,266,26,3,5,Completa
2789,2024-02-27,35,22,5,1,Completa
2901,2024-02-27,34,19,1,4,Completa
89,2024-02-28,6,10,2,3,Completa
271,2024-02-28,66,6,6,4,Completa
545,2024-02-28,20,26,4,4,Completa
795,2024-02-28,256,25,6,5,Completa
1749,2024-02-28,95,33,1,5,Completa
2047,2024-02-28,117,17,1,5,Completa
2294,2024-02-28,316,35,2,1,Completa
2346,2024-02-28,274,25,4,3,Completa
2460,2024-02-28,301,15,5,4,Completa
2550,2024-02-28,138,23,4,3,Pendiente
2600,2024-02-28,187,25,4,5,Completa
3,2024-02-29,31,21,3,3,Completa
123,2024-02-29,169,32,5,5,Completa
452,2024-02-29,115,4,5,4,Completa
1037,2024-02-29,48,30,6,4,Completa
1190,2024-02-29,119,21,1,3,Completa
1313,2024-02-29,95,13,2,3,Completa
1713,2024-02-29,265,14,2,4,Completa
1907,2024-02-29,278,12,3,5,Pendiente
2059,2024-02-29,84,20,6,3,Completa
2606,2024-02-29,221,7,2,4,Completa
66,2024-03-01,97,27,3,5,Completa
183,2024-03-01,31,38,3,3,Completa
1188,2024-03-01,255,27,3,5,Pendiente
1422,2024-03-01,58,2,1,4,Completa
1465,2024-03-01,36,14,2,5,Completa
1535,2024-03-01,255,8,1,3,Completa
2280,2024-03-01,134,18,1,4,Completa
2668,2024-03-01,117,19,5,1,Pendiente
2845,2024-03-01,71,5,6,3,Completa
72,2024-03-02,144,23,5,2,Completa
786,2024-03-02,292,19,6,4,Pendiente
2094,2024-03-02,276,25,5,3,Completa
2278,2024-03-02,163,5,3,5,Completa
95,2024-03-03,67,14,5,4,Completa
365,2024-03-03,90,8,5,5,Completa
382,2024-03-03,208,12,1,3,Completa
428,2024-03-03,308,28,4,5,Completa
610,2024-03-03,197,38,3,4,Pendiente
1069,2024-03-03,37,26,1,5,Completa
1164,2024-03-03,97,12,3,4,Pendiente
1214,2024-03-03,67,5,1,4,Completa
1501,2024-03-03,42,29,5,5,Completa
1730,2024-03-03,160,33,6,3,Completa
1867,2024-03-03,132,22,6,5,Pendiente
2042,2024-03-03,221,22,6,5,Completa
2327,2024-03-03,62,26,4,5,Completa
2391,2024-03-03,271,32,1,4,Completa
2420,2024-03-03,17,1,2,2,Completa
2778,2024-03-03,64,32,1,4,Completa
275,2024-03-04,27,11,5,4,Completa
298,2024-03-04,158,1,3,4,Completa
1531,2024-03-04,326,14,1,3,Pendiente
1737,2024-03-04,149,21,5,5,Completa
2547,2024-03-04,80,2,5,3,Completa
2913,2024-03-04,283,10,6,5,Completa
290,2024-03-05,123,31,4,2,Completa
408,2024-03-05,7,12,5,3,Completa
1171,2024-03-05,8,14,5,3,Completa
1589,2024-03-05,112,26,2,4,Pendiente
2479,2024-03-05,85,34,5,5,Completa
2669,2024-03-05,68,2,5,1,Pendiente
28,2024-03-06,240,23,3,3,Pendiente
311,2024-03-06,68,24,6,4,Completa
916,2024-03-06,307,17,3,3,Pendiente
1524,2024-03-06,292,34,2,5,Completa
2157,2024-03-06,193,2,1,3,Completa
2301,2024-03-06,321,7,1,1,Completa
2665,2024-03-06,36,20,6,5,Pendiente
210,2024-03-07,215,35,3,4,Completa
556,2024-03-07,104,23,5,1,Pendiente
606,2024-03-07,46,20,2,5,Completa
820,2024-03-07,148,7,3,5,Completa
1185,2024-03-07,58,22,2,4,Pendiente
1444,2024-03-07,23,25,4,4,Completa
1756,2024-03-07,309,13,5,4,Completa
1796,2024-03-07,32,4,2,4,Completa
2156,2024-03-07,193,26,5,1,Completa
2175,2024-03-07,255,3,1,4,Completa
2183,2024-03-07,38,36,4,1,Completa
2366,2024-03-07,222,17,2,4,Completa
2732,2024-03-07,311,4,6,3,Completa
54,2024-03-08,108,13,1,2,Completa
438,2024-03-08,307,29,5,2,Completa
620,2024-03-08,257,21,6,3,Completa
876,2024-03-08,42,23,3,2,Completa
1226,2024-03-08,91,35,6,5,Completa
1463,2024-03-08,299,17,4,2,Completa
1577,2024-03-08,25,26,5,4,Pendiente
2398,2024-03-08,203,30,1,4,Completa
362,2024-03-09,30,15,2,4,Completa
444,2024-03-09,164,9,6,5,Completa
790,2024-03-09,119,24,6,1,Completa
1634,2024-03-09,206,14,3,5,Pendiente
1788,2024-03-09,180,2,2,4,Completa
2512,2024-03-09,87,36,1,4,Completa
2769,2024-03-09,33,24,6,3,Completa
35,2024-03-10,62,9,6,3,Completa
152,2024-03-10,64,11,5,4,Completa
1142,2024-03-10,164,13,6,1,Completa
1639,2024-03-10,230,26,5,4,Completa
1957,2024-03-10,217,37,2,1,Completa
2678,2024-03-10,11,31,6,5,Pendiente
923,2024-03-11,172,2,1,1,Completa
1148,2024-03-11,67,25,5,4,Pendiente
1564,2024-03-11,238,23,2,2,Completa
2058,2024-03-11,206,9,2,4,Completa
2132,2024-03-11,215,11,3,3,Completa
2253,2024-03-11,278,2,2,2,Completa
437,2024-03-12,211,15,5,1,Completa
971,2024-03-12,213,29,6,4,Completa
2019,2024-03-12,49,13,6,4,Completa
2291,2024-03-12,69,6,6,5,Completa
2416,2024-03-12,49,11,5,4,Completa
2519,2024-03-12,30,3,6,1,Completa
2524,2024-03-12,117,9,2,3,Pendiente
2989,2024-03-12,147,31,6,3,Completa
426,2024-03-13,100,17,4,4,Completa
537,2024-03-13,262,3,6,2,Completa
656,2024-03-13,35,6,5,3,Completa
756,2024-03-13,81,12,4,4,Completa
762,2024-03-13,81,3,5,1,Completa
1808,2024-03-13,303,11,5,2,Completa
1970,2024-03-13,167,10,1,2,Completa
2180,2024-03-13,74,18,5,3,Completa
2260,2024-03-13,54,1,3,5,Completa
2274,2024-03-13,213,35,1,1,Completa
31,2024-03-14,267,2,1,3,Completa
124,2024-03-14,173,13,5,3,Completa
225,2024-03-14,104,38,3,4,Pendiente
607,2024-03-14,251,9,5,2,Completa
705,2024-03-14,185,17,2,1,Completa
1033,2024-03-14,78,1,3,5,Completa
1228,2024-03-14,291,1,6,1,Completa
1537,2024-03-14,138,37,1,1,Completa
1864,2024-03-14,15,10,5,4,Completa
2545,2024-03-14,233,12,1,4,Completa
2973,2024-03-14,134,7,3,3,Completa
817,2024-03-15,31,3,2,4,Completa
1494,2024-03-15,157,23,3,1,Completa
1601,2024-03-15,313,34,4,1,Completa
1618,2024-03-15,14,18,3,5,Pendiente
1622,2024-03-15,211,16,2,5,Completa
1646,2024-03-15,143,8,3,3,Completa
2073,2024-03-15,283,11,4,4,Completa
2107,2024-03-15,299,3,5,3,Completa
2204,2024-03-15,55,28,1,5,Completa
2660,2024-03-15,28,7,6,4,Completa
2808,2024-03-15,11,38,6,4,Completa
40,2024-03-16,125,34,6,1,Completa
42,2024-03-16,259,32,5,5,Completa
199,2024-03-16,226,30,4,4,Pendiente
1083,2024-03-16,111,26,5,4,Completa
1085,2024-03-16,232,20,3,3,Completa
1111,2024-03-16,65,16,2,3,Completa
1249,2024-03-16,77,21,1,3,Completa
1561,2024-03-16,200,22,5,4,Completa
1708,2024-03-16,68,16,1,4,Completa
2201,2024-03-16,63,34,6,5,Completa
2264,2024-03-16,87,11,6,5,Completa
2689,2024-03-16,108,30,5,4,Completa
2740,2024-03-16,224,7,5,4,Completa
2951,2024-03-16,229,32,1,4,Completa
18,2024-03-17,179,10,3,4,Completa
827,2024-03-17,246,8,2,5,Completa
875,2024-03-17,321,15,6,5,Completa
884,2024-03-17,312,16,5,2,Pendiente
1121,2024-03-17,88,34,3,5,Pendiente
1137,2024-03-17,295,32,6,3,Completa
1290,2024-03-17,323,25,5,3,Completa
1682,2024-03-17,48,38,4,4,Completa
2091,2024-03-17,44,21,3,5,Completa
2261,2024-03-17,305,4,6,4,Completa
2478,2024-03-17,109,29,3,3,Completa
414,2024-03-18,151,35,3,5,Completa
1133,2024-03-18,313,32,4,5,Completa
1156,2024-03-18,37,2,3,1,Completa
1545,2024-03-18,8,19,2,1,Completa
2135,2024-03-18,50,31,6,4,Completa
2917,2024-03-18,17,35,5,3,Pendiente
2981,2024-03-18,36,11,2,4,Completa
44,2024-03-19,122,30,2,4,Completa
208,2024-03-19,66,29,3,1,Completa
1357,2024-03-19,71,23,5,1,Pendiente
1777,2024-03-19,113,3,2,5,Completa
1874,2024-03-19,92,15,4,3,Completa
2112,2024-03-19,119,22,4,2,Pendiente
2563,2024-03-19,99,15,4,4,Completa
2585,2024-03-19,323,19,1,1,Completa
2628,2024-03-19,195,14,5,2,Completa
118,2024-03-20,26,25,4,5,Completa
741,2024-03-20,222,31,6,5,Completa
968,2024-03-20,3,23,3,4,Completa
1071,2024-03-20,135,14,6,4,Completa
1108,2024-03-20,270,25,6,2,Pendiente
1130,2024-03-20,213,4,2,2,Completa
1903,2024-03-20,278,33,2,5,Completa
1920,2024-03-20,184,36,6,3,Completa
1984,2024-03-20,321,38,2,1,Pendiente
2054,2024-03-20,209,37,3,5,Completa
2720,2024-03-20,145,7,4,3,Completa
911,2024-03-21,288,19,1,4,Completa
1096,2024-03-21,204,37,5,4,Completa
1098,2024-03-21,178,25,3,4,Completa
1473,2024-03-21,255,18,1,5,Pendiente
1606,2024-03-21,278,27,6,4,Completa
1998,2024-03-21,279,31,1,1,Pendiente
2243,2024-03-21,326,18,2,2,Completa
2397,2024-03-21,238,32,2,3,Completa
416,2024-03-22,110,29,2,4,Completa
608,2024-03-22,105,14,5,3,Completa
1028,2024-03-22,267,31,3,4,Completa
1118,2024-03-22,106,13,2,1,Completa
1210,2024-03-22,266,6,4,5,Completa
1504,2024-03-22,168,3,4,4,Completa
1773,2024-03-22,88,25,4,5,Completa
1809,2024-03-22,90,31,3,3,Completa
2040,2024-03-22,313,12,5,1,Completa
2251,2024-03-22,238,36,4,5,Completa
2372,2024-03-22,177,8,1,1,Completa
2907,2024-03-22,207,6,2,3,Completa
405,2024-03-23,122,16,2,4,Pendiente
970,2024-03-23,212,16,6,3,Completa
1795,2024-03-23,1,12,6,4,Completa
1814,2024-03-23,175,4,4,1,Completa
2258,2024-03-23,17,33,3,4,Completa
2467,2024-03-23,25,4,3,5,Completa
2815,2024-03-23,171,1,6,5,Completa
785,2024-03-24,132,9,5,5,Completa
1549,2024-03-24,260,17,1,2,Completa
1942,2024-03-24,41,31,1,4,Pendiente
1947,2024-03-24,288,29,2,5,Completa
2008,2024-03-24,162,15,4,4,Completa
2861,2024-03-24,147,21,5,4,Completa
113,2024-03-25,72,19,1,3,Pendiente
170,2024-03-25,269,20,3,4,Completa
378,2024-03-25,199,25,1,4,Completa
1139,2024-03-25,8,36,5,1,Completa
1399,2024-03-25,90,27,2,3,Completa
1710,2024-03-25,131,27,1,3,Completa
1866,2024-03-25,272,5,5,1,Completa
2164,2024-03-25,292,36,5,5,Completa
2854,2024-03-25,208,33,2,5,Pendiente
2993,2024-03-25,117,4,2,1,Completa
464,2024-03-26,323,5,4,4,Completa
469,2024-03-26,134,17,4,4,Completa
1025,2024-03-26,288,15,3,5,Pendiente
1125,2024-03-26,9,26,5,4,Pendiente
1321,2024-03-26,94,6,4,1,Completa
1556,2024-03-26,65,8,2,1,Completa
1667,2024-03-26,81,24,6,3,Completa
2182,2024-03-26,116,2,6,2,Completa
2570,2024-03-26,17,7,6,5,Completa
2623,2024-03-26,237,3,5,4,Completa
2683,2024-03-26,14,28,1,2,Completa
172,2024-03-27,268,24,6,1,Completa
